padrao_taco;codigo_pof;medidas_excluidas;observacao
^Arroz, tipo [12], cozido$;6300101;;POF: ARROZ (POLIDO, PARBOILIZADO), medidas de arroz pronto
^Arroz, integral, cozido$;6300201;;POF: ARROZ INTEGRAL
^Aveia, flocos, crua$;6500401;;POF: AVEIA EM FLOCOS
^Biscoito, doce, recheado;8004801;CONCHA|COPO*|POTE|PRATO*|TIGELA|XICARA*;POF: BISCOITO RECHEADO
^Biscoito, doce, maisena|^Biscoito, doce, wafer;8002301;CONCHA|COPO*|POTE|PRATO*|TIGELA|XICARA*;POF: BISCOITO DOCE
^Biscoito, salgado, cream cracker;8002201;CONCHA|COPO*|POTE|PRATO*|TIGELA|XICARA*;POF: BISCOITO SALGADO
^Pão, trigo, francês$;8000105;;POF: PAO DE SAL (pão francês)
^Pão, trigo, forma, integral$;8001401;;POF: PAO INTEGRAL
^Pão, trigo, sovado$;8001501;;POF: PAO NAO ESPECIFICADO (pão sovado)
#removida: pão de forma branco não existe na TACO;;;POF: PAO DE FORMA INDUSTRIALIZADO
^Pão, de queijo, assado$;8000801;;POF: PAO DE QUEIJO
^Pão, milho, forma$;8001101;;POF: PAO DE MILHO
^Torrada, pão francês$;8001901;;POF: TORRADA DE QUALQUER PAO
^Cereal matinal, milho$;6500903;BARRA;POF: CEREAL MATINAL DE MILHO EM FLOCOS
^Farinha, de mandioca, torrada$;6501401;;POF: FARINHA DE MANDIOCA
^Milho, verde, enlatado, drenado$;7700401;;POF: MILHO VERDE EM CONSERVA
^Pamonha;6905101;;POF: PAMONHA
^Curau, milho verde$;8501904;;POF: CURAU
^Pipoca;8501202;;POF: PIPOCA DOCE OU SALGADA
^Polenta;8500218;;POF: POLENTA
^Cuscuz, de milho, cozido com sal$;6902901;;POF: CUSCUZ
^Tapioca, com manteiga$;6501516;;POF: TAPIOCA DE GOMA
^Pastel, de (carne|queijo), frito$;8500202;;POF: PASTEL
^Feijão, fradinho, cozido$;6301603;;POF: FEIJAO DE CORDA (feijão-fradinho)
^Feijão, (carioca|preto|rajado|rosinha|roxo|jalo), cozido$;6303102;;POF: FEIJAO (PRETO, MULATINHO, ROXO, ROSINHA, ETC), medidas de feijão pronto
^Feijão tropeiro mineiro$;8506101;;POF: FEIJAO TROPEIRO
^Lentilha, cozida$;6302901;;POF: LENTILHA
^Ervilha, enlatada, drenada$;7700201;;POF: ERVILHA EM CONSERVA
^Ervilha, em vagem$;6705501;;POF: ERVILHA EM VAGEM
^Amendoim, grão, cru$;6301001;;POF: AMENDOIM (EM GRAO) (IN NATURA)
^Paçoca, amendoim$;6903203;;POF: PACOCA
^Abóbora, ;6703901;;POF: ABOBORA
^Abobrinha, ;6703701;;POF: ABOBRINHA
^Acelga, crua$;6701501;;POF: ACELGA
^Agrião, cru$;6701301;;POF: AGRIAO
^Alface, ;6700101;;POF: ALFACE
^Alho, cru$;6706201;;POF: ALHO
^Alho-poró, cru$;6706301;;POF: ALHO PORO
^Almeirão, ;6701601;;POF: ALMEIRAO
^Batata, inglesa, (crua|cozida|frita|sauté)$;6400101;;POF: BATATA INGLESA
^Batata, doce, (crua|cozida)$;6400401;;POF: BATATA DOCE
^Batata, baroa, cozida$;6400304;;POF: CENOURA AMARELA (BATATA BAROA)
^Berinjela, ;6705401;;POF: BERINJELA
^Beterraba, ;6401101;;POF: BETERRABA
^Brócolis, ;6701704;;POF: BROCOLIS
^Cará, ;6400701;;POF: CARA
^Caruru, cru$;6701901;;POF: CARURU (verdura)
^Catalonha, ;6705801;;POF: CATALONHA
^Cebola, crua$;6705701;;POF: CEBOLA
^Cebolinha, crua$;6701101;;POF: CEBOLINHA
^Cenoura, ;6401201;;POF: CENOURA
^Chicória, crua$;6700301;;POF: CHICORIA
^Chuchu, ;6704101;;POF: CHUCHU
^Couve, manteiga, ;6700501;;POF: COUVE
^Couve-flor, ;6700601;;POF: COUVE FLOR
^Espinafre, ;6700701;;POF: ESPINAFRE
^Inhame, cru$;6400501;;POF: INHAME
^Jiló, cru$;6704201;;POF: JILO
^Jurubeba, crua$;6808201;;POF: JURUBEBA
^Mandioca, (crua|cozida|frita)$;6400601;;POF: MANDIOCA
^Maxixe, cru$;6704301;;POF: MAXIXE
^Mostarda, folha, crua$;6700801;;POF: MOSTARDA (VERDURA)
^Nabo, cru$;6401301;;POF: NABO
^Palmito, (juçara|pupunha), em conserva$;7700501;;POF: PALMITO EM CONSERVA
^Pepino, cru$;6704001;;POF: PEPINO
^Pimentão, ;6704501;;POF: PIMENTAO
^Quiabo, cru$;6705001;;POF: QUIABO
^Rabanete, cru$;6401001;;POF: RABANETE
^Repolho, ;6700901;;POF: REPOLHO
^Rúcula, crua$;6702001;;POF: RUCULA
^Serralha, crua$;6701801;;POF: SERRALHA
^Taioba, crua$;6701401;;POF: TAIOBA
^Tomate, com semente, cru$;6705101;;POF: TOMATE
^Vagem, ;6705201;;POF: VAGEM
^Abacate, cru$;6802701;;POF: ABACATE
^Abacaxi, cru$;6802601;;POF: ABACAXI
^Abiu, cru$;6808001;;POF: ABIU
^Acerola, crua$;6807701;;POF: ACEROLA
^Ameixa, crua$;6804301;;POF: AMEIXA
^Atemóia, crua$;6805401;;POF: ATEMOIA
^Banana, [^,]+, crua$;6801101;;POF: BANANA (OURO, PRATA, D'AGUA, DA TERRA, ETC)
^Cacau, cru$;6806301;;POF: CACAU
^Cajá-Manga, cru$;6804601;;POF: CAJA MANGA
^Caju, cru$;6804401;;POF: CAJU
^Caqui, chocolate, cru$;6802801;;POF: CAQUI
^Carambola, crua$;6804801;;POF: CARAMBOLA
^Ciriguela, crua$;6806901;;POF: CIRIGUELA
^Cupuaçu, cru$;6807301;;POF: CUPUACU
^Figo, cru$;6802901;;POF: FIGO
^Fruta-pão, crua$;6805901;;POF: FRUTA PAO
^Goiaba, (branca|vermelha), com casca, crua$;6804201;;POF: GOIABA
^Graviola, crua$;6805001;;POF: GRAVIOLA
^Jaca, crua$;6804101;;POF: JACA
^Jambo, cru$;6805301;;POF: JAMBO
^Jamelão, cru$;6810201;;POF: JAMELAO (JAMBURAO)
^Kiwi, cru$;6807801;;POF: KIWI
^Laranja, [^,]+, crua$;6801801;;POF: LARANJA (PERA, SELETA, LIMA, DA TERRA, ETC)
^Limão, [^,]+, cru$;6802001;;POF: LIMAO (COMUM, GALEGO, ETC)
^Maçã, [^,]+, com casca, crua$;6803001;;POF: MACA
^Mamão, (Formosa|Papaia), cru$;6803101;;POF: MAMAO
^Manga, [^,]+, crua$;6803201;;POF: MANGA
^Maracujá, cru$;6803301;;POF: MARACUJA
^Melancia, crua$;6803401;;POF: MELANCIA
^Melão, cru$;6803501;;POF: MELAO
^Mexerica, [^,]+, crua$;6802202;;POF: MEXERICA
^Morango, cru$;6805201;;POF: MORANGO
^Nêspera, crua$;6805801;;POF: NESPERA
^Pequi, cru$;6806701;;POF: PEQUI
^Pera, [^,]+, crua$|^Pêra, [^,]+, crua$;6803601;;POF: PERA
^Pêssego, [^,]+, cru$;6803701;;POF: PESSEGO
^Pinha, crua$;6803802;;POF: PINHA (FRUTA DE CONDE)
^Pitanga, crua$;6806801;;POF: PITANGA
